n,title,application_url,source_url,organization,country,source_name,application_status,record_type
1,AAUW International Fellowships,https://aauw.fluxx.io/user_sessions/new,https://www.aauw.org/resources/programs/fellowships-grants/aauw-international-fellowships,American Association of University Women (AAUW),United States,CURATED_LEAF,open,scholarship
2,ADB-Japan Scholarship Program 2027,https://www.adb.org/work-with-us/careers/japan-scholarship-program,https://www.adb.org/work-with-us/careers/japan-scholarship-program,Asian Development Bank,Japan,Asian Development Bank,open,scholarship
3,AFS Intercultural Programs — High School Study Abroad,https://www.afs.org/programs/high-school-study-abroad/,https://www.afs.org/programs/high-school-study-abroad/,AFS Intercultural Programs,International,PHASE1_CURATED,open,scholarship
4,AG Whitlam International Undergraduate Scholarship,https://scholarships.unimelb.edu.au/awards/ag-whitlam-international-undergraduate-merit-scholarship/,https://scholarships.unimelb.edu.au/awards/ag-whitlam-international-undergraduate-merit-scholarship/,University of Melbourne,Australia,University of Melbourne,open,scholarship
5,Aga Khan Foundation — Education Scholarships,https://www.akdn.org/our-agencies/aga-khan-foundation/education,https://www.akdn.org/our-agencies/aga-khan-foundation/education,Aga Khan Foundation,International,CURATED_LEAF,open,scholarship
6,Airwallex Opportunity Grants,https://scholarships.unimelb.edu.au/awards/airwallex-opportunity-grants/,https://scholarships.unimelb.edu.au/awards/airwallex-opportunity-grants/,University of Melbourne,Australia,University of Melbourne,open,scholarship
7,American University Emerging Global Leader Scholarship (AU EGLS),https://www.american.edu/admissions/international/au-egls-apply.cfm,https://www.american.edu/admissions/international/first-year-merit.cfm,American University,United States,CURATED_LEAF,open,scholarship
8,Art Supporters Collective Award,https://scholarships.unimelb.edu.au/awards/art-supporters-collective-award/,https://scholarships.unimelb.edu.au/awards/art-supporters-collective-award/,University of Melbourne,Australia,University of Melbourne,open,scholarship
9,Ashinaga Africa Initiative,https://www.ashinaga.org/en/our-work/ashinaga-africa-initiative,https://www.ashinaga.org/en/our-work/ashinaga-africa-initiative,Ashinaga Africa Initiative,Japan,CURATED_LEAF,open,scholarship
10,ASSIST Scholars Program,https://www.assistscholars.org/en/scholarship/apply/,https://www.assistscholars.org/en/scholarship/,ASSIST Scholars,United States,PHASE1_CURATED,open,scholarship
11,Australia Awards — Africa and Indo-Pacific,https://www.australiaawards.gov.au/applications,https://www.australiaawards.gov.au/applications,Australia Awards,Australia,CURATED_LEAF,open,scholarship
12,Australia Awards Scholarships,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,https://www.dfat.gov.au/people-to-people/australia-awards/australia-awards-scholarships,Australia Awards (DFAT),Australia,CURATED_LEAF,open,scholarship
13,Brunei Darussalam Government Scholarship 2027,https://www.mfa.gov.bn/pages/bdgs/bdgs2024.aspx,https://www.mfa.gov.bn/pages/bdgs/bdgs2024.aspx,Government of Brunei Darussalam,Brunei,Ministry of Foreign Affairs Brunei,open,scholarship
14,Canada Graduate Scholarships — Doctoral (CGS D),https://nserc-crsng.canada.ca/en/funding-opportunity/canada-graduate-research-scholarship-doctoral-program/,https://nserc-crsng.canada.ca/en/funding-opportunity/canada-graduate-research-scholarship-doctoral-program/,Natural Sciences and Engineering Research Council of Canada (NSERC),Canada,EDUCANADA_CURATED,open,scholarship
15,"Chevening Healthcare, Health Policy, and Health Reform Fellowship",https://www.chevening.org/fellowship/health,https://www.chevening.org/fellowship/health,Chevening / UK Government,China,CURATED_LEAF,open,scholarship
16,Chevening India Cyber Security Fellowship,https://www.chevening.org/fellowship/india-cyber-security,https://www.chevening.org/fellowship/india-cyber-security,Chevening / UK Government,India,CURATED_LEAF,open,scholarship
17,Chevening LSE Fellowship,https://www.chevening.org/fellowship/lse,https://www.chevening.org/fellowship/lse,Chevening / UK Government,China,CURATED_LEAF,open,scholarship
18,Chevening Scholarship — Egypt,https://www.chevening.org/scholarship/egypt,https://www.chevening.org/scholarship/egypt,Chevening / UK Government,Egypt,CURATED_LEAF,open,scholarship
19,Chevening Scholarship — Ethiopia,https://www.chevening.org/scholarship/ethiopia,https://www.chevening.org/scholarship/ethiopia,Chevening / UK Government,Ethiopia,CURATED_LEAF,open,scholarship
20,Chevening Scholarship — Ghana,https://www.chevening.org/scholarship/ghana,https://www.chevening.org/scholarship/ghana,Chevening / UK Government,Ghana,CURATED_LEAF,open,scholarship
21,Chevening Scholarship — Kenya,https://www.chevening.org/scholarship/kenya,https://www.chevening.org/scholarship/kenya,Chevening / UK Government,Kenya,CURATED_LEAF,open,scholarship
22,Chevening Scholarship — Liberia,https://www.chevening.org/scholarship/liberia,https://www.chevening.org/scholarship/liberia,Chevening / UK Government,Liberia,CURATED_LEAF,open,scholarship
23,Chevening Scholarship — Malawi,https://www.chevening.org/scholarship/malawi,https://www.chevening.org/scholarship/malawi,Chevening / UK Government,Malawi,CURATED_LEAF,open,scholarship
24,Chevening Scholarship — Morocco,https://www.chevening.org/scholarship/morocco,https://www.chevening.org/scholarship/morocco,Chevening / UK Government,Morocco,CURATED_LEAF,open,scholarship
25,Chevening Scholarship — Nigeria,https://www.chevening.org/scholarship/nigeria,https://www.chevening.org/scholarship/nigeria,Chevening / UK Government,Nigeria,CURATED_LEAF,open,scholarship
26,Chevening Scholarship — Rwanda,https://www.chevening.org/scholarship/rwanda,https://www.chevening.org/scholarship/rwanda,Chevening / UK Government,Rwanda,CURATED_LEAF,open,scholarship
